text,target
"Proceedings of the 61st ACM/IEEE Design Automation Conference, DAC 2024, San Francisco, CA, USA, June 23-27, 2024.",0
SMORE: Similarity-Based Hyperdimensional Domain Adaptation for Multi-Sensor Time Series Classification.,0
EnTurbo: Accelerate Confidential Serverless Computing via Parallelizing Enclave Startup Procedure.,0
SecPaging: Secure Enclave Paging with Hardware-Enforced Protection against Controlled-Channel Attacks.,0
GDR-HGNN: A Heterogeneous Graph Neural Networks Accelerator Frontend with Graph Decoupling and Recoupling.,0
Garrison: A High-Performance GPU-Accelerated Inference System for Adversarial Ensemble Defense.,0
PHD: Parallel Huffman Decoder on FPGA for Extreme Performance and Energy Efficiency.,0
Explainable Fuzzy Neural Network with Multi-Fidelity Reinforcement Learning for Micro-Architecture Design Space Exploration.,0
Levioso: Efficient Compiler-Informed Secure Speculation.,0
Conjuring: Leaking Control Flow via Speculative Fetch Attacks.,0
INSPIRE: Accelerating Deep Neural Networks via Hardware-friendly Index-Pair Encoding.,0
Ink: Efficient Incremental k-Critical Path Generation.,0
EPIM: Efficient Processing-In-Memory Accelerators based on Epitome.,0
G2PM: Performance Modeling for ACAP Architecture with Dual-Tiered Graph Representation Learning.,0
PT-Map: Efficient Program Transformation Optimization for CGRA Mapping.,0
HiLight: A Comprehensive Framework for High-Performance and Lightweight Scalability in Surface Code Communication.,0
CFTCG: Test Case Generation for Simulink Model through Code Based Fuzzing.,0
Top-Level Routing for Multiply-Instantiated Blocks with Topology Hashing.,0
Boolean Matching Reversible Circuits: Algorithm and Complexity.,0
Voronoi Diagram-based Multiple Power Plane Generation on Redistribution Layers in 3D ICs.,0
Efficient Code Generation for Data-Intensive Simulink Models via Redundancy Elimination.,0
AccMoS: Accelerating Model Simulation for Simulink via Code Generation.,0
CAP: A General Purpose Computation-in-memory with Content Addressable Processing Paradigm.,0
Zeroth-Order Optimization of Optical Neural Networks with Linear Combination Natural Gradient and Calibrated Model.,0
DEFA: Efficient Deformable Attention Acceleration via Pruning-Assisted Grid-Sampling and Multi-Scale Parallel Processing.,0
Deep Reorganization: Retaining Residuals in TinyML.,0
Alchemist: A Unified Accelerator Architecture for Cross-Scheme Fully Homomorphic Encryption.,0
STAGGER: Enabling All-in-One Subarray Sensing for Efficient Module-level Processing in Open-Bitline ReRAM.,0
ThermalScope: A Practical Interrupt Side Channel Attack Based on Thermal Event Interrupts.,0
Enabling On-Device Large Language Model Personalization with Self-Supervised Data Selection and Synthesis.,1
Synthesis of Compact Flow-based Computing Circuits from Boolean Expressions.,0
Oltron: Algorithm-Hardware Co-design for Outlier-Aware Quantization of LLMs with Inter-/Intra-Layer Adaptation.,1
SymPhase: Phase Symbolization for Fast Simulation of Stabilizer Circuits.,0
Execution Sequence Optimization for Processing In-Memory using Parallel Data Preparation.,0
Compact and Efficient CAM Architecture through Combinatorial Encoding and Self-Terminating Searching for In-Memory-Searching Accelerator.,0
Dyn-Bitpool: A Two-sided Sparse CIM Accelerator Featuring a Balanced Workload Scheme and High CIM Macro Utilization.,0
PowPrediCT: Cross-Stage Power Prediction with Circuit-Transformation-Aware Learning.,0
A RRAM-based High Energy-efficient Accelerator Supporting Multimodal Tasks for Virtual Reality Wearable Devices.,0
Nona: Accurate Power Prediction Model Using Neural Networks.,0
Artisan: Automated Operational Amplifier Design via Domain-specific Large Language Model.,1
Advanced gate-level glitch modeling using ANNs.,0
PONO: Power Optimization with Near Optimal SMT-based Sub-circuit Generation.,0
MoC: A Morton-Code-Based Fine-Grained Quantization for Accelerating Point Cloud Neural Networks.,0
Co-Via: A Video Frame Interpolation Accelerator Exploiting Codec Information Reuse.,0
DNN-Defender: A Victim-Focused In-DRAM Defense Mechanism for Taming Adversarial Weight Attack on DNNs.,0
SMILE: LLC-based Shared Memory Expansion to Improve GPU Thread Level Parallelism.,0
LVF2: A Statistical Timing Model based on Gaussian Mixture for Yield Estimation and Speed Binning.,0
PVTSizing: A TuRBO-RL-Based Batch-Sampling Optimization Framework for PVT-Robust Analog Circuit Synthesis.,0
Older and Wiser: The Marriage of Device Aging and Intellectual Property Protection of DNNs.,0
